CODICE PRODOTTO,CODICE OE,CODICI CROSS,BRAND,DESCRIZIONE,LINK IMMAGINE,CATEGORIA,GIACENZA,PREZZO,SCHEDA TECNICA,SCHEDA DI SICUREZZA,CONFEZIONE,QUANTITÀ MINIMA,META.LUNGHEZZA,META.LARGHEZZA,META.PROFONDITA',META. ...
9461614499,,,BOSCH,TRASDUTTORE IMPULSI,,Ricambio,1.0,25.9,,,1 pz,1,,,,
9461614976,,,BOSCH,CAMME RPN952,,Ricambio,2.0,36.9,,,1 pz,1,,,,
9461615032,,,BOSCH,TESTA IDRAULICA,,Ricambio,2.0,86.9,,,1 pz,1,,,,
9461615255,,,BOSCH,CAMMA,,Ricambio,2.0,33.9,,,1 pz,1,,,,
9461615258,,,BOSCH,STANTUFFO POMPA,,Ricambio,2.0,60.9,,,1 pz,1,,,,
9461615275,,,BOSCH,ELETTROMAGNETE DI TRAZIONE,,Ricambio,2.0,40.9,,,1 pz,1,,,,
9461615286,,,BOSCH,ASTA REGOLAZ LDA,,Ricambio,6.0,13.9,,,1 pz,1,,,,
9461615336,,,BOSCH,CORPO POMPA,,Ricambio,2.0,92.9,,,1 pz,1,,,,
9461615342,,,BOSCH,CAMMA 07,,Ricambio,1.0,42.9,,,1 pz,1,,,,
9461615343,,,BOSCH,CAMMA 32,,Ricambio,2.0,29.9,,,1 pz,1,,,,
9461615375,,,BOSCH,ELETTROMAGNETE DI TRAZIONE,,Ricambio,1.0,61.9,,,1 pz,1,,,,
9461615381,,,BOSCH,RACCORDO ORIENTABILE,,Ricambio,1.0,13.9,,,1 pz,1,,,,
9461615511,,,BOSCH,SOLENOIDE ZEXEL,,Ricambio,2.0,38.9,,,1 pz,1,,,,
9461615942,,,BOSCH,VALVOLA OUT (TIPO LUNGO),,Ricambio,1.0,19.9,,,1 pz,1,,,,
9461615943,,,BOSCH,ALBERO TRASCIN NISSAN,,Ricambio,3.0,24.9,,,1 pz,1,,,,
9461616128,,,BOSCH,KIT RULLI 3PZ,,Ricambio,19.0,17.9,,,1 pz,1,,,,
9461616674,,,BOSCH,KIT RULLI NITRURATI 2 PZ,,Ricambio,11.0,23.9,,,1 pz,1,,,,
9461616818,,,BOSCH,CAMME (48),,Ricambio,2.0,35.9,,,1 pz,1,,,,
9461616932,,,BOSCH,CORPO POMPA,,Ricambio,1.0,225.9,,,1 pz,1,,,,
9461617053,,,BOSCH,CAMMA,,Ricambio,2.0,42.9,,,1 pz,1,,,,
9461617060,,,BOSCH,PISTONE ANTICIPO,,Ricambio,1.0,17.9,,,1 pz,1,,,,
9461617075,,,BOSCH,CAPPELLO DI BANCO,,Ricambio,1.0,36.9,,,1 pz,1,,,,
9461617076,,,BOSCH,PISTONE ANTICIPO,,Ricambio,1.0,31.9,,,1 pz,1,,,,
9461617095,,,BOSCH,TESTA IDRAUL.NISSAN ?12DX 4CIL,,Ricambio,2.0,143.9,,,1 pz,1,,,,
9461617097,,,BOSCH,TESTA IDR 4 CIL. 12MM NISSAN,,Ricambio,1.0,107.9,,,1 pz,1,,,,
9461617276,,,BOSCH,ALBERINO ACC. MITSUB,,Ricambio,1.0,39.9,,,1 pz,1,,,,
9461617329,,,BOSCH,GRUPPO LEVE,,Ricambio,2.0,38.9,,,1 pz,1,,,,
9461618898,,,BOSCH,Corpo della pompa,,Ricambio,1.0,72.9,,,1 pz,1,,,,
9461618903,,,BOSCH,CAMME,,Ricambio,1.0,32.9,,,1 pz,1,,,,
9461618909,,,BOSCH,TESTA IDRAULICA,,Ricambio,1.0,113.9,,,1 pz,1,,,,
9461618910,,,BOSCH,TEST X MODIF EDC 11MM 6CIL DX,,Ricambio,1.0,126.9,,,1 pz,1,,,,
9461618912,,,BOSCH,CAPSULA,,Ricambio,1.0,14.9,,,1 pz,1,,,,
9461618930,,,BOSCH,KIT DI RIPARAZIONE,,Ricambio,1.0,38.9,,,1 pz,1,,,,
9461619305,,,BOSCH,TESTINA IDR NISSAN 12MM 6 CIL,,Ricambio,1.0,98.9,,,1 pz,1,,,,
9461619928,,,BOSCH,TRASDUTTORE DI IMPULSI,,Ricambio,1.0,29.9,,,1 pz,1,,,,
9461624691,,,BOSCH,PISTONE PER POMPE,,Ricambio,1.0,26.9,,,1 pz,1,,,,
9461624761,,,BOSCH,CORPO POMPA,,Ricambio,2.0,64.9,,,1 pz,1,,,,
9461626154,,,BOSCH,ATTUATORE,,Ricambio,1.0,335.9,,,1 pz,1,,,,
9461626284,,,BOSCH,ATTUATORE,,Ricambio,1.0,282.9,,,1 pz,1,,,,
9461627031,,,BOSCH,CORPO POMPA,,Ricambio,1.0,78.9,,,1 pz,1,,,,
9461627939,,,BOSCH,KIT MOLLE DI COMPRESS TESTA,,Ricambio,6.0,18.9,,,1 pz,1,,,,
F00041P050,,,BOSCH,Serie parti,,Ricambio,8.0,37.9,,,1 pz,1,,,,
F00041P052,,,BOSCH,Serie parti,,Ricambio,3.0,27.9,,,1 pz,1,,,,
F002B10517,,,BOSCH,POMPANTE PFE,,Ricambio,8.0,19.9,,,1 pz,1,,,,
F002C40738,,,BOSCH,Polverizzatore DSLA145P5544,,Ricambio,1.0,23.9,,,1 pz,1,,,,
F002D12533,,,BOSCH,TAPPO TESTA VE EDC,,Ricambio,3.0,12.9,,,1 pz,1,,,,
F002D13584,,,BOSCH,FLANGIA INTERMEDIA,,Ricambio,2.0,25.9,,,1 pz,1,,,,
F002D13640,,,BOSCH,SOLENOIDE BOSCH 12 V.,,Ricambio,21.0,16.9,,,1 pz,1,,,,
F002D13641,,,BOSCH,SOLENOIDE BOSCH 24V.,,Ricambio,28.0,14.9,,,1 pz,1,,,,
F002D13642,,,BOSCH,SOLENOIDE 12 V,,Ricambio,18.0,14.9,,,1 pz,1,,,,
F002D13643,,,BOSCH,ELETTROMAGNETE DI PRESSIONE,,Ricambio,1.0,87.9,,,1 pz,1,,,,
F002D14257,,,BOSCH,TESTA IDRAUL 4CIL DX 12MM,,Ricambio,2.0,138.9,,,1 pz,1,,,,
F002D14979,,,BOSCH,GRUPPO RICAMBI,,Ricambio,1.0,61.9,,,1 pz,1,,,,
F002D14990,,,BOSCH,CORPO POMPA,,Ricambio,2.0,62.9,,,1 pz,1,,,,
F002D15654,,,BOSCH,VALVOLA ELETTROMAGN COMPL,,Ricambio,5.0,57.9,,,1 pz,1,,,,
F002D15657,,,BOSCH,Valvola elettromagnetica,,Ricambio,1.0,62.9,,,1 pz,1,,,,
F002D16013,,,BOSCH,BOCCOLA ALBERO VE 20MM PROLUNG,,Ricambio,11.0,11.9,,,1 pz,1,,,,
F002D16504,,,BOSCH,ALBERINO REG. VE,,Ricambio,3.0,14.9,,,1 pz,1,,,,
F002D20501,,,BOSCH,SOLENOIDE AIFO 12V INVERSO,,Ricambio,11.0,31.9,,,1 pz,1,,,,
F002D20502,,,BOSCH,SOLENOIDE AIFO 24V INVERSO,,Ricambio,2.0,56.9,,,1 pz,1,,,,
F002G50079,,,BOSCH,CANDELETTA,,Ricambio,4.0,12.9,,,1 pz,1,,,,
F00BH40097,,,BOSCH,INIETTORE UREA,,Ricambio,1.0,257.9,,,1 pz,1,,,,
F00C3G1900,,,BOSCH,CAVO ADATTATORE,,Ricambio,2.0,34.9,,,1 pz,1,,,,
F00H410533,,,BOSCH,DADO BLOCC UIS/PDE,,Ricambio,18.0,35.9,,,1 pz,1,,,,
F00H410535,,,BOSCH,ANELLO O.R. UIS/PDE,,Ricambio,24.0,11.9,,,1 pz,1,,,,
F00H4S0001,,,BOSCH,KIT OR UIS/PDE,,Ricambio,43.0,13.9,,,1 pz,1,,,,
F00H4S0002,,,BOSCH,KIT O.R. UIS SCANIA,,Ricambio,24.0,12.9,,,1 pz,1,,,,
F00H4S0008,,,BOSCH,KIT MOLLA+ASTINA PRESSIONE PDE,,Ricambio,24.0,17.9,,,1 pz,1,,,,
F00HN37069,,,BOSCH,KIT OR PDL + OR COP VALVOLA,,Ricambio,2.0,26.9,,,1 pz,1,,,,
F00HN37070,,,BOSCH,KIT O.R. UIS MERCEDES,,Ricambio,6.0,28.9,,,1 pz,1,,,,
F00HN37402,,,BOSCH,PUNTERIA A RULLO,,Ricambio,1.0,55.9,,,1 pz,1,,,,
F00HN37431,,,BOSCH,MAGNETE,,Ricambio,6.0,66.9,,,1 pz,1,,,,
F00HN37925,,,BOSCH,SERIE PARTI MAGNETE,,Ricambio,8.0,71.9,,,1 pz,1,,,,
F00HN37926,,,BOSCH,SERIE PARTI MOLLA + PUNTALINO,,Ricambio,20.0,12.9,,,1 pz,1,,,,
F00HN37928,,,BOSCH,O.R. UIS,,Ricambio,85.0,14.9,,,1 pz,1,,,,
F00N010001,,,BOSCH,LIMITATORE DI PRESSIONE,,Ricambio,2.0,83.9,,,1 pz,1,,,,
F00N200088,,,BOSCH,PARAOLIO C/RAIL CP3,,Ricambio,3.0,12.9,,,1 pz,1,,,,
F00N200121,,,BOSCH,ALBERO CP3 KIA,,Ricambio,1.0,36.9,,,1 pz,1,,,,
F00N200141,,,BOSCH,MOLLA POMPANTE CP3,,Ricambio,7.0,11.9,,,1 pz,1,,,,
F00N200208,,,BOSCH,ALBERO A ECCENTRICO CP3 RENAUL,,Ricambio,1.0,46.9,,,1 pz,1,,,,
F00N200798,,,BOSCH,VALVOLA TROPPO PIENO,,Ricambio,9.0,21.9,,,1 pz,1,,,,
F00N200994,,,BOSCH,KIT VALVOLA CP3,,Ricambio,3.0,66.9,,,1 pz,1,,,,
F00N200997,,,BOSCH,KIT VALVOLA CP3 DAILY,,Ricambio,6.0,23.9,,,1 pz,1,,,,
F00N200999,,,BOSCH,SERIE PARTI CP3,,Ricambio,6.0,27.9,,,1 pz,1,,,,
F00N201000,,,BOSCH,KIT VALVOLA CP3,,Ricambio,6.0,24.9,,,1 pz,1,,,,
F00N201210,,,BOSCH,ALBERO ECCENTRICO,,Ricambio,2.0,86.9,,,1 pz,1,,,,
F00N201235,,,BOSCH,FLANGIA,,Ricambio,1.0,91.9,,,1 pz,1,,,,
F00N201244,,,BOSCH,S/PARTI VALV.ASPIRAZIONE,,Ricambio,9.0,27.9,,,1 pz,1,,,,
F00N201320,,,BOSCH,VALVOLA DI TROPPO PIENO,,Ricambio,4.0,26.9,,,1 pz,1,,,,
F00N201338,,,BOSCH,KIT VALVOLA CP3,,Ricambio,6.0,26.9,,,1 pz,1,,,,
F00N201433,,,BOSCH,VALVOLA TROPPO PIENO,,Ricambio,3.0,20.9,,,1 pz,1,,,,
F00N201524,,,BOSCH,SERIE VALVOLA,,Ricambio,3.0,26.9,,,1 pz,1,,,,
F00N201868,,,BOSCH,VALVOLA TROPPO PIENO,,Ricambio,2.0,26.9,,,1 pz,1,,,,
F00N201871,,,BOSCH,VALVOLA DI TROPPO PIENO,,Ricambio,2.0,26.9,,,1 pz,1,,,,
F00N201973,,,BOSCH,KIT GUARNIZ. CP3,,Ricambio,34.0,12.9,,,1 pz,1,,,,
F00N201974,,,BOSCH,KIT GUARNIZ.,,Ricambio,6.0,17.9,,,1 pz,1,,,,
F00N201975,,,BOSCH,KIT GUARNIZ.,,Ricambio,7.0,12.9,,,1 pz,1,,,,
F00N201976,,,BOSCH,KIT GUARNIZ.,,Ricambio,6.0,15.9,,,1 pz,1,,,,
F00N201977,,,BOSCH,KIT GUARNIZ.,,Ricambio,6.0,12.9,,,1 pz,1,,,,
F00N201978,,,BOSCH,KIT GUARNIZ.,,Ricambio,6.0,12.9,,,1 pz,1,,,,
F00N201985,,,BOSCH,BOCCOLA CP3,,Ricambio,36.0,13.9,,,1 pz,1,,,,
F00N202279,,,BOSCH,VALVOLA DI TROPPO PIENO,,Ricambio,1.0,26.9,,,1 pz,1,,,,
F00N202337,,,BOSCH,PARAOLIO ALBERO CP3,,Ricambio,23.0,12.9,,,1 pz,1,,,,
F00N202338,,,BOSCH,PARAOLIO CP3,,Ricambio,33.0,12.9,,,1 pz,1,,,,
F00N202354,,,BOSCH,SERIE PARTI,,Ricambio,3.0,26.9,,,1 pz,1,,,,
F00N202450,,,BOSCH,VALV PIENO CP3 MAN FILETT FINO,,Ricambio,1.0,23.9,,,1 pz,1,,,,
F00N202658,,,BOSCH,PARAOLIO,,Ricambio,20.0,12.9,,,1 pz,1,,,,
F00N202692,,,BOSCH,GRUPPO VALVOLE CP3,,Ricambio,3.0,27.9,,,1 pz,1,,,,
F00N202695,,,BOSCH,ALBERO CP3,,Ricambio,1.0,75.9,,,1 pz,1,,,,
F00N202696,,,BOSCH,ALBERO A ECCENTRICO,,Ricambio,1.0,77.9,,,1 pz,1,,,,
F00N202697,,,BOSCH,ALBERO CP3,,Ricambio,1.0,87.9,,,1 pz,1,,,,
F00N202699,,,BOSCH,ALBERO CP3,,Ricambio,1.0,74.9,,,1 pz,1,,,,
F00N202700,,,BOSCH,ALBERO CP3,,Ricambio,1.0,74.9,,,1 pz,1,,,,
F00N202702,,,BOSCH,ALBERO A ECCENTR CP3,,Ricambio,1.0,86.9,,,1 pz,1,,,,
F00N202705,,,BOSCH,ALBERO CP3 MERCEDES,,Ricambio,2.0,88.9,,,1 pz,1,,,,
F00N202710,,,BOSCH,ALBERO A ECCENTRICO C.R.,,Ricambio,1.0,75.9,,,1 pz,1,,,,
F00N202712,,,BOSCH,Albero a eccentrico,,Ricambio,1.0,103.9,,,1 pz,1,,,,
F00N202761,,,BOSCH,Albero a eccentrico,,Ricambio,2.0,86.9,,,1 pz,1,,,,
F00N202845,,,BOSCH,ALBERO AD ECCENTRICO,,Ricambio,1.0,50.9,,,1 pz,1,,,,
F00N203059,,,BOSCH,VALVOLA CP3,,Ricambio,9.0,15.9,,,1 pz,1,,,,
F00N203133,,,BOSCH,ALBERO ECCENTRICO CP3,,Ricambio,1.0,57.9,,,1 pz,1,,,,
F00N204135,,,BOSCH,GIUNTO DI COLLEGAMENTO,,Ricambio,1.0,20.9,,,1 pz,1,,,,
F00N300348,,,BOSCH,VALVOLA DI REGOLAZIONE,,Ricambio,5.0,22.9,,,1 pz,1,,,,
F00N350001,,,BOSCH,SERIE GUARN. VP29/30,,Ricambio,3.0,23.9,,,1 pz,1,,,,
F00N350079,,,BOSCH,Valvola di regolazione,,Ricambio,1.0,18.9,,,1 pz,1,,,,
F00N350353,,,BOSCH,Corpo della pompa,,Ricambio,1.0,220.9,,,1 pz,1,,,,
F00R004157,,,BOSCH,SENSORE ALTA PRESSIONE,,Ricambio,2.0,97.9,,,1 pz,1,,,,
F00R004269,,,BOSCH,SENSORE ALTA PRESSIONE,,Ricambio,3.0,90.9,,,1 pz,1,,,,
F00R004270,,,BOSCH,SENSORE,,Ricambio,4.0,91.9,,,1 pz,1,,,,
F00R004556,,,BOSCH,SENSORE BMW,,Ricambio,2.0,99.9,,,1 pz,1,,,,
F00R0P0133,,,BOSCH,SUPPORTO GIUNTO,,Ricambio,5.0,19.9,,,1 pz,1,,,,
F00R0P0160,,,BOSCH,PIASTRA MOLLA CP1,,Ricambio,5.0,14.9,,,1 pz,1,,,,
F00R0P0253,,,BOSCH,PARAOLIO C/RAIL CP1,,Ricambio,291.0,12.9,,,1 pz,1,,,,
F00R0P0521,,,BOSCH,PARAOLIO CP3,,Ricambio,20.0,14.9,,,1 pz,1,,,,
F00R0P0619,,,BOSCH,SFERE,,Ricambio,5.0,13.9,,,1 pz,1,,,,
F00R0P1110,,,BOSCH,ALBERO A CAMME 006 C.R.,,Ricambio,2.0,43.9,,,1 pz,1,,,,
F00R0P1112,,,BOSCH,ALBERO ECCENTRICO C/RAIL 85MM,,Ricambio,5.0,44.9,,,1 pz,1,,,,
F00R0P1114,,,BOSCH,ALBERO A ECCENTRICO ...R60,,Ricambio,15.0,40.9,,,1 pz,1,,,,
F00R0P1116,,,BOSCH,ALBERO A CAMME 007 C.R.,,Ricambio,3.0,44.9,,,1 pz,1,,,,
F00R0P1118,,,BOSCH,ALBERO AD ECCENTRICI C.R.,,Ricambio,2.0,43.9,,,1 pz,1,,,,
F00R0P1122,,,BOSCH,ALBERO POMPA C/RAIL SMART,,Ricambio,3.0,44.9,,,1 pz,1,,,,
F00R0P1126,,,BOSCH,ALBERO ECCENTRICO,,Ricambio,2.0,47.9,,,1 pz,1,,,,
F00R0P1128,,,BOSCH,ALBERO A CAMME DAILY,,Ricambio,3.0,44.9,,,1 pz,1,,,,
F00R0P1249,,,BOSCH,VALVOLA C/RAIL ..007 CP1,,Ricambio,63.0,14.9,,,1 pz,1,,,,
F00R0P1319,,,BOSCH,PUNTERIA CP3,,Ricambio,6.0,16.9,,,1 pz,1,,,,
F00R0P1367,,,BOSCH,VALVOLA POMPA C.R. CERAMICA,,Ricambio,33.0,16.9,,,1 pz,1,,,,
F00R0P1733,,,BOSCH,TESTATA C.R. DAILY,,Ricambio,3.0,50.9,,,1 pz,1,,,,
F00R0P1738,,,BOSCH,TESTATA CP1K ESCL POMPANTE GOC,,Ricambio,1.0,62.9,,,1 pz,1,,,,
F00R0P1765,,,BOSCH,ALBERO AD ECCENTRICO CR,,Ricambio,18.0,46.9,,,1 pz,1,,,,
F00RC00573,,,BOSCH,Raccordo tubo mandata,,Ricambio,6.0,32.9,,,1 pz,1,,,,
F00RJ00005,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,8.0,55.9,,,1 pz,1,,,,
F00RJ00339,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,43.9,,,1 pz,1,,,,
F00RJ00395,,,BOSCH,GRUPPO MAGNETICO,,Ricambio,1.0,65.9,,,1 pz,1,,,,
F00RJ00399,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,3.0,68.9,,,1 pz,1,,,,
F00RJ00414,,,BOSCH,RACCORDO TUBO DI MANDATA,,Ricambio,6.0,31.9,,,1 pz,1,,,,
F00RJ00420,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,66.9,,,1 pz,1,,,,
F00RJ00841,,,BOSCH,DADO FISSAUGELLO,,Ricambio,6.0,12.9,,,1 pz,1,,,,
F00RJ01005,,,BOSCH,DADO DI SERRAGGIO,,Ricambio,9.0,13.9,,,1 pz,1,,,,
F00RJ01029,,,BOSCH,RACCORDO TUBO MANDATA,,Ricambio,6.0,30.9,,,1 pz,1,,,,
F00RJ01052,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,63.9,,,1 pz,1,,,,
F00RJ01101,,,BOSCH,DADO FISSAUGELLO,,Ricambio,8.0,15.9,,,1 pz,1,,,,
F00RJ01159,,,BOSCH,GRUPPO VALVOLE,,Ricambio,1.0,64.9,,,1 pz,1,,,,
F00RJ01176,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,70.9,,,1 pz,1,,,,
F00RJ01222,,,BOSCH,ASTINA + VALVOLA,,Ricambio,8.0,67.9,,,1 pz,1,,,,
F00RJ01247,,,BOSCH,RACCORDO TUBO MANDATA,,Ricambio,1.0,19.9,,,1 pz,1,,,,
F00RJ01278,,,BOSCH,GRUPPO VALVOLE,,Ricambio,5.0,64.9,,,1 pz,1,,,,
F00RJ01280,,,BOSCH,RACCORDO TUBO MANDATA,,Ricambio,6.0,34.9,,,1 pz,1,,,,
F00RJ01451,,,BOSCH,GRUPPO VALVOLE,,Ricambio,6.0,72.9,,,1 pz,1,,,,
F00RJ01457,,,BOSCH,RACCORDO TUBO DI MANDATA,,Ricambio,6.0,35.9,,,1 pz,1,,,,
F00RJ01714,,,BOSCH,GRUPPO VALVOLE,,Ricambio,6.0,64.9,,,1 pz,1,,,,
F00RJ01919,,,BOSCH,RACCORDO TUBO MANDATA,,Ricambio,5.0,27.9,,,1 pz,1,,,,
F00RJ02130,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,2.0,45.9,,,1 pz,1,,,,
F00RJ02178,,,BOSCH,GUARN SINTERIZZ IN CR 120036,,Ricambio,40.0,13.9,,,1 pz,1,,,,
F00RJ02180,,,BOSCH,DADO BLOCCAPOLVERIZZATORE,,Ricambio,8.0,13.9,,,1 pz,1,,,,
F00RJ02213,,,BOSCH,Gruppo valvole,,Ricambio,4.0,64.9,,,1 pz,1,,,,
F00RJ02219,,,BOSCH,DADO UGELLO,,Ricambio,7.0,13.9,,,1 pz,1,,,,
F00RJ02246,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,1.0,48.9,,,1 pz,1,,,,
F00RJ02386,,,BOSCH,GRUPPO VALVOLE,,Ricambio,4.0,64.9,,,1 pz,1,,,,
F00RJ02506,,,BOSCH,Gruppo Valvole,,Ricambio,6.0,46.9,,,1 pz,1,,,,
F00RJ02552,,,BOSCH,DADO UGELLO C/RAIL DAILY,,Ricambio,4.0,13.9,,,1 pz,1,,,,
F00RJ02697,,,BOSCH,GRUPPO MAGNETICO COMMON RAIL,,Ricambio,4.0,54.9,,,1 pz,1,,,,
F00RJ02772,,,BOSCH,BOCCOLA INIETTORE C.R.,,Ricambio,12.0,11.9,,,1 pz,1,,,,
F00RJ02816,,,BOSCH,KIT VALV/POLV/DADO UGELLO,,Ricambio,12.0,47.9,,,1 pz,1,,,,
F00VC01001,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,56.9,,,1 pz,1,,,,
F00VC01004,,,BOSCH,ASTINA/FUNGHETTO TASTATOR GRAN,,Ricambio,4.0,56.9,,,1 pz,1,,,,
F00VC01005,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,55.9,,,1 pz,1,,,,
F00VC01007,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,1.0,55.9,,,1 pz,1,,,,
F00VC01011,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,3.0,56.9,,,1 pz,1,,,,
F00VC01013,,,BOSCH,ASTINA/FUNGHETTO 0445110057,,Ricambio,5.0,57.9,,,1 pz,1,,,,
F00VC01015,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,63.9,,,1 pz,1,,,,
F00VC01022,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,47.9,,,1 pz,1,,,,
F00VC01033,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,46.9,,,1 pz,1,,,,
F00VC01036,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,8.0,54.9,,,1 pz,1,,,,
F00VC01038,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,52.9,,,1 pz,1,,,,
F00VC01043,,,BOSCH,ASTINA/FUNGHETTO TASTATOR PICC,,Ricambio,1.0,54.9,,,1 pz,1,,,,
F00VC01044,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,46.9,,,1 pz,1,,,,
F00VC01045,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,53.9,,,1 pz,1,,,,
F00VC01046,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,55.9,,,1 pz,1,,,,
F00VC01051,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,46.9,,,1 pz,1,,,,
F00VC01053,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,3.0,47.9,,,1 pz,1,,,,
F00VC01054,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,56.9,,,1 pz,1,,,,
F00VC01301,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,16.0,55.9,,,1 pz,1,,,,
F00VC01306,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,54.9,,,1 pz,1,,,,
F00VC01309,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,54.9,,,1 pz,1,,,,
F00VC01310,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,3.0,53.9,,,1 pz,1,,,,
F00VC01315,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,54.9,,,1 pz,1,,,,
F00VC01321,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,53.9,,,1 pz,1,,,,
F00VC01328,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,56.9,,,1 pz,1,,,,
F00VC01329,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,52.9,,,1 pz,1,,,,
F00VC01331,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,8.0,53.9,,,1 pz,1,,,,
F00VC01333,,,BOSCH,ASTINA + FUNGHETTO,,Ricambio,4.0,54.9,,,1 pz,1,,,,
F00VC01336,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,3.0,53.9,,,1 pz,1,,,,
F00VC01338,,,BOSCH,ASTINA + FUNGHETTO IN C/R,,Ricambio,8.0,48.9,,,1 pz,1,,,,
F00VC01340,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,55.9,,,1 pz,1,,,,
F00VC01342,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,50.9,,,1 pz,1,,,,
F00VC01344,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,8.0,55.9,,,1 pz,1,,,,
F00VC01346,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,46.9,,,1 pz,1,,,,
F00VC01347,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,47.9,,,1 pz,1,,,,
F00VC01349,,,BOSCH,ASTINA + FUNGHETTO,,Ricambio,4.0,57.9,,,1 pz,1,,,,
F00VC01353,,,BOSCH,ASTINA + FUNGHETTO,,Ricambio,3.0,52.9,,,1 pz,1,,,,
F00VC01354,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,2.0,52.9,,,1 pz,1,,,,
F00VC01360,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,49.9,,,1 pz,1,,,,
F00VC01362,,,BOSCH,ASTINA + FUNGHETTO,,Ricambio,4.0,56.9,,,1 pz,1,,,,
F00VC01364,,,BOSCH,ASTINA+FUNGHETTO,,Ricambio,4.0,55.9,,,1 pz,1,,,,
F00VC01369,,,BOSCH,GRUPPO VALVOLA,,Ricambio,4.0,47.9,,,1 pz,1,,,,
F00VC01372,,,BOSCH,ASTINA + FUNGHETTO,,Ricambio,4.0,52.9,,,1 pz,1,,,,
F00VC01376,,,BOSCH,ASTINA/FUNGHETTO,,Ricambio,4.0,55.9,,,1 pz,1,,,,
F00VC01380,,,BOSCH,ASTINA + FUNGHETTO IN. CRI2,,Ricambio,4.0,45.9,,,1 pz,1,,,,
F00VC14012,,,BOSCH,DADO UGELLO C/RAIL MERCEDES,,Ricambio,156.0,15.9,,,1 pz,1,,,,
F00VC14016,,,BOSCH,DADO FISSAUG HYUNDAI,,Ricambio,16.0,15.9,,,1 pz,1,,,,
F00VC14019,,,BOSCH,DADO FISSAUGELLO,,Ricambio,16.0,14.9,,,1 pz,1,,,,
F00VC16024,,,BOSCH,RACCORDO IN.C/RAIL,,Ricambio,4.0,12.9,,,1 pz,1,,,,
F00VC30053,,,BOSCH,BOBINA INIETTORE CR,,Ricambio,1.0,45.9,,,1 pz,1,,,,
F00VC30054,,,BOSCH,BOBINA INIETTORE CR,,Ricambio,24.0,41.9,,,1 pz,1,,,,
F00VC30057,,,BOSCH,BOBINA INIETTORE CR,,Ricambio,1.0,44.9,,,1 pz,1,,,,
F00VC30318,,,BOSCH,BOBINA INIETT C.RAIL,,Ricambio,2.0,42.9,,,1 pz,1,,,,
F00VC30319,,,BOSCH,BOBINA INIETT C.RAIL,,Ricambio,1.0,41.9,,,1 pz,1,,,,
F00VC30326,,,BOSCH,BOBINA INIETTORE CR,,Ricambio,1.0,33.9,,,1 pz,1,,,,
F00VX99886,,,BOSCH,SERIE PARTI PISTONE,,Ricambio,6.0,35.9,,,1 pz,1,,,,
F00VX99892,,,BOSCH,KIT O.R. PLD DAF,,Ricambio,12.0,13.9,,,1 pz,1,,,,
F00VX99992,,,BOSCH,KIT OR UIS VOLVO,,Ricambio,12.0,12.9,,,1 pz,1,,,,
